（親）ASIN,タイトル,セッション数 - 合計,ページビュー - 合計,注文された商品点数,ユニットセッション率,注文商品の売上額,注文品目総数
B0DHTMYFWB,ジャンプGIGA 2024 AUTUMN,126,173,0,0.00%,￥0,0
B0FDWKWXD6,[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事,94,144,0,0.00%,￥0,0
B0FCC7S5JX,ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 カジュアル ジム [並行輸入品],73,105,1,1.37%,"￥1,580",1
B0FDWLJK1M,[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライン フレア ゆったり,72,109,2,2.78%,"￥5,950",2
B0FGVH8P89,[CALM.st] レディース サンダル 厚底 スポーツ マジックテープ 幅広 立ち仕事 ランニング レジャー 海,67,74,2,2.99%,"￥5,960",2
B0FCCL78LV, ,61,166,1,1.64%,"￥2,980",1
B0FDRD4JZ4,[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩せ レディース フレンチ ミディアム,60,78,1,1.67%,"￥1,680",1
4088832019,呪術廻戦 20 (ジャンプコミックス),49,66,0,0.00%,￥0,0
B0FDGHSR2K,[CALM.st] サテン キャミソール レディース インナー スクエアネック 肩紐隠し タンクトップ 重ね着 トップス,48,59,0,0.00%,￥0,0
B0FDW2ZWQY,[CALM.st] メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショルダー ファスナー,42,50,0,0.00%,￥0,0
B0FGVLZD3B,[CALM.st] レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷房 花柄 フレア,39,44,2,5.13%,"￥3,760",2
B0FDW2XL22,[CALM.st] ブラウス レディース スクエア ネック シャツ 長袖 ボリューム 襟なし 体型カバー 韓国,34,39,0,0.00%,￥0,0
B0FDLGKRZP,[CALM.st] サテン ナイト ガウン レース レディース Vネック 大きいサイズ ネグリジェ ルーム ワンピース,30,39,0,0.00%,￥0,0
4065351707,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(31) (KCデラックス),29,43,1,3.45%,￥860,1
B0FCDKGHYT,サンダル クロッグ スリッパ サボ キッズ 子供 女の子 男の子 海 水遊び 軽量 屋内 シューズ [並行輸入品],25,31,0,0.00%,￥0,0
B0FDWM35JK,[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通勤 出張 兼用,22,29,1,4.55%,"￥3,580",1
4065331560,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(19) (KCデラックス),19,21,0,0.00%,￥0,0
B0FDWLLPQP,[CALM.st] ヘンリーネック Tシャツ 半袖 レディース 綿麻 サラサラ 無地 体型カバー 涼感 トップス 高見え,18,19,1,5.56%,"￥1,680",1
B0FGWL2QPR,[CALM.st] サンダル 厚底 作業 靴 メンズ ビーチ 軽量 スポーティー 日常 レジャー フラット フッドベット,17,18,1,5.88%,"￥2,880",1
4065348765,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(30) (KCデラックス),15,22,0,0.00%,￥0,0
4065341841,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(26) (KCデラックス),13,19,0,0.00%,￥0,0
B0FDG685PG,[CALM.st] レディース ファスナー 膝下 スカート ミモレ 通年 タイト 着痩せ ロング マキシ丈 きれいめ,13,15,0,0.00%,￥0,0
4065345626,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(28) (KCデラックス),12,17,0,0.00%,￥0,0
B0FBBFK95W, ,12,15,0,0.00%,￥0,0
B0FCC9P7MR, ,12,12,0,0.00%,￥0,0
4056117527,永久保存版 阪神タイガース 2023メモリアルブック: 阪神タイガース38年ぶり日本一! (GAKKEN MOOK),11,14,0,0.00%,￥0,0
B0FF3GN6JB,[CALM.st] シフォン ブラウス レディース 長袖 無地 ゆったり オフィス トップス シースルー Uネック,10,14,0,0.00%,￥0,0
4065345588,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(27) (KCデラックス),7,7,0,0.00%,￥0,0
4065348757,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(29) (KCデラックス),7,9,0,0.00%,￥0,0
B0FBBGN3HW, ,6,8,0,0.00%,￥0,0
4065335566,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(21) (KCデラックス),5,6,0,0.00%,￥0,0
4065341779,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(25) (KCデラックス),4,5,0,0.00%,￥0,0
B0FCC9CCFJ, ,3,4,0,0.00%,￥0,0
B0FCC8TP1H, ,2,2,2,100.00%,"￥3,160",2
