（親）ASIN,タイトル,セッション数 - 合計,ページビュー - 合計,注文された商品点数,ユニットセッション率,注文商品の売上額,注文品目総数
B0DHTMYFWB,ジャンプGIGA 2024 AUTUMN,124,202,0,0.00%,￥0,0
B0FDWKWXD6,[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事,97,158,1,1.03%,"￥1,880",1
B0FDRD4JZ4,[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩せ レディース フレンチ ミディアム,80,111,1,1.25%,"￥1,680",1
B0FDWLJK1M,[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライン フレア ゆったり,78,100,2,2.56%,"￥4,900",2
B0FCCL78LV, ,57,109,2,3.51%,"￥5,960",2
B0FDGHSR2K,[CALM.st] サテン キャミソール レディース インナー スクエアネック 肩紐隠し タンクトップ 重ね着 トップス,46,56,3,6.52%,"￥5,040",3
4088832019,呪術廻戦 20 (ジャンプコミックス),41,70,0,0.00%,￥0,0
B0FCC7S5JX,ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 カジュアル ジム [並行輸入品],39,57,4,10.26%,"￥6,320",4
B0FDW2ZWQY,[CALM.st] メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショルダー ファスナー,39,52,2,5.13%,"￥6,980",2
B0FGWL2QPR,[CALM.st] サンダル 厚底 作業 靴 メンズ ビーチ 軽量 スポーティー 日常 レジャー フラット フッドベット,36,37,1,2.78%,"￥2,880",1
B0FCDKGHYT,サンダル クロッグ スリッパ サボ キッズ 子供 女の子 男の子 海 水遊び 軽量 屋内 シューズ [並行輸入品],35,45,0,0.00%,￥0,0
4065351707,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(31) (KCデラックス),32,44,1,3.13%,￥860,1
B0FCC9P7MR, ,30,34,1,3.33%,"￥3,500",1
B0FBBFK95W, ,25,30,0,0.00%,￥0,0
B0FBBGN3HW, ,24,30,0,0.00%,￥0,0
B0FDW2XL22,[CALM.st] ブラウス レディース スクエア ネック シャツ 長袖 ボリューム 襟なし 体型カバー 韓国,18,28,1,5.56%,"￥1,680",1
4056117527,永久保存版 阪神タイガース 2023メモリアルブック: 阪神タイガース38年ぶり日本一! (GAKKEN MOOK),16,31,0,0.00%,￥0,0
B0FDWM35JK,[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通勤 出張 兼用,16,19,0,0.00%,￥0,0
B0FF3GN6JB,[CALM.st] シフォン ブラウス レディース 長袖 無地 ゆったり オフィス トップス シースルー Uネック,13,14,1,7.69%,"￥2,480",1
B0FDWLLPQP,[CALM.st] ヘンリーネック Tシャツ 半袖 レディース 綿麻 サラサラ 無地 体型カバー 涼感 トップス 高見え,11,13,0,0.00%,￥0,0
4065331560,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(19) (KCデラックス),9,16,0,0.00%,￥0,0
4065345588,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(27) (KCデラックス),9,18,1,11.11%,￥840,1
B0FCC9CCFJ, ,8,8,0,0.00%,￥0,0
B0FDG685PG,[CALM.st] レディース ファスナー 膝下 スカート ミモレ 通年 タイト 着痩せ ロング マキシ丈 きれいめ,8,11,0,0.00%,￥0,0
4065345626,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(28) (KCデラックス),7,10,0,0.00%,￥0,0
4065348765,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(30) (KCデラックス),7,13,0,0.00%,￥0,0
4065341779,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(25) (KCデラックス),5,6,0,0.00%,￥0,0
4065348757,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(29) (KCデラックス),5,6,0,0.00%,￥0,0
4065341841,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(26) (KCデラックス),4,4,0,0.00%,￥0,0
B0FDLGKRZP,[CALM.st] サテン ナイト ガウン レース レディース Vネック 大きいサイズ ネグリジェ ルーム ワンピース,4,4,0,0.00%,￥0,0
4065335566,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(21) (KCデラックス),3,5,0,0.00%,￥0,0
B0FGVLZD3B,[CALM.st] レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷房 花柄 フレア,3,3,0,0.00%,￥0,0
B0FGVH8P89,[CALM.st] レディース サンダル 厚底 スポーツ マジックテープ 幅広 立ち仕事 ランニング レジャー 海,1,1,0,0.00%,￥0,0
